Item,unit,,type,category,Rank
Placement of peritoneal catheter diletation,each,33800,Private,Surgery,
Peripheral nerve repair,each,58370,Private,Surgery,
exploratory burr hole,each,73580,Private,Surgery,
elevation of depressed fracture,each,73580,Private,Surgery,
debridement of open skull fracture,each,87880,Private,Surgery,
ventriculo peritoneal shunt,each,116610,Private,Surgery,
craniectomy,each,146250,Private,Surgery,
YAG CAPSULOTOMY,each,5000,Private,Surgery,
YAG IRIDIOTOMY,each,5000,Private,Surgery,
FOCAL LASER,each,10000,Private,Surgery,
PRP,each,30000,Private,Surgery,
ICCE/ECCE+ACIOL,each,20000,Private,Surgery,
SICS+IOL,each,50000,Private,Surgery,
PHACO+IOL,each,120000,Private,Surgery,
PHACO TRAB + IOL,each,150000,Private,Surgery,
"I&D, I&C",each,10000,Private,Surgery,
FOREIGN BODY REMOVAL,each,5000,Private,Surgery,
EXCISION AND BIOPSY,each,15000,Private,Surgery,
TRABECULECTOMY,each,30000,Private,Surgery,
SETON'S OPERATION,each,60000,Private,Surgery,
VITREORETINAL SURGERY,each,200000,Private,Surgery,
LID SPLIT,each,2000,Private,Surgery,
LID REPAIR,each,2000,Private,Surgery,
EVISCERATION,each,7000,Private,Surgery,
EVISCERATION WITH SPHERE,each,3500,Private,Surgery,
ENUCREATION,each,20000,Private,Surgery,
LOCAL ANAESTHESIA,each,50000,Private,Surgery,
UNDER GENERAL ANESTHESIA,each,80000,Private,Surgery,
Acetazolamide,each,100,Private,Pharmacy,
Timolol drops,each,3000,Private,Pharmacy,
Dorzolamide drops,each,3500,Private,Pharmacy,
Latanoprost drops,each,2500,Private,Pharmacy,
Brimonide drops,each,2500,Private,Pharmacy,
cosopt drops ,each,2500,Private,Pharmacy,
Xalatin drops,each,2500,Private,Pharmacy,
Levofloxacin drops,each,1500,Private,Pharmacy,
Maxifloxacin drops,each,2000,Private,Pharmacy,
Chloramphenicol drops,each,1500,Private,Pharmacy,
Chloramphenicol ointment,each,1000,Private,Pharmacy,
Tetracyclin drops,each,1000,Private,Pharmacy,
Gentamycin drops,each,1500,Private,Pharmacy,
Oflloxacin drops,each,2000,Private,Pharmacy,
Natamycin drops,each,5000,Private,Pharmacy,
Econazole drops,each,5000,Private,Pharmacy,
Acyclovir ointment,each,5000,Private,Pharmacy,
Sodium Chromogycate,each,2500,Private,Pharmacy,
Flurometholone,each,1000,Private,Pharmacy,
Prednisolone eye drops,each,1000,Private,Pharmacy,
Dexamethasone ,each,1000,Private,Pharmacy,
Tropicamide+Phenylephrine,each,2000,Private,Pharmacy,
Cyclopentolate,each,2000,Private,Pharmacy,
Atropine,each,2000,Private,Pharmacy,
Tropicamide,each,2000,Private,Pharmacy,
Artificial tears,each,1500,Private,Pharmacy,
Sodium Chloride 5%,each,5000,Private,Pharmacy,
